2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
0,0,0,14362,1096,0,3927,14355,4256,0,3998,14256,4210,0,3853
0,0,0,70910,19403,0,15658,71714,19482,0,15258,71565,19293,0,14515
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1034,1441,0,0,1173,1608,0,0,1140,1725,0,0
0,0,0,0,2562,0,0,0,2664,0,0,0,2971,0,0
0,0,0,0,7387,0,0,0,0,0,0,0,0,0,0
0,0,0,11899,2349,0,1511,11394,2527,0,1489,11572,2139,0,1592
12997,12663,12828,661462,399918,55829,217807,640399,401664,59016,209080,625246,392320,58096,198353
0,0,0,2834,13976,8220,0,2917,13377,8388,0,3159,13604,8568,0
3786,4136,3585,1322,10205,0,3458,1189,11564,0,4957,1854,10629,0,6864
0,0,0,0,0,0,65387,0,0,0,68966,0,0,0,71335
0,0,0,0,0,0,1723,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,1540,1430,0,0,0,0,0,0,0,0,0,0,0,0
2732,2994,2645,2699,3418,2332,3488,2468,3005,2200,3618,2253,3159,2280,3554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6921,7808,8361,2564,7586,0,3138,2635,6920,0,1168,2724,6836,0,2782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6401,6894,6800,5843,5361,5770,7090,5768,5029,6091,7433,5826,4805,5616,7849
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,1999,2266,2726,6224,0,0,2882,6440,0,0,2849,6531,0,0
0,0,0,1273,2095,0,0,1378,0,1107,0,1463,1989,0,0
3057,3421,3869,6661,2019,0,3721,6198,2136,0,3852,6532,1450,0,3480
0,0,0,2594,8238,0,1294,2985,8019,0,1238,2737,7464,0,1222
0,0,0,0,2129,0,0,0,1709,0,0,0,1905,0,0
0,0,0,1386,0,0,0,0,0,0,0,1485,0,0,0
0,0,0,0,1682,0,0,0,1748,0,0,0,0,0,0
1511,1922,1875,6619,5702,0,0,6738,6010,0,0,6326,5270,0,0
0,0,0,1796,0,0,0,1462,1788,3013,1544,1307,0,0,0
14700,14998,15329,30797,47487,12949,6763,29344,48945,13719,6907,30205,46857,13297,6785
