massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row363	362.0	324.1927	4.819	0.7353357561035938	-0.33896124183799947
row364	363.0	156.0771	6.05	0.21755102291988013	-1.2407318882099578
row365	364.0	623.4049	1.367	0.3850827983281506	0.8723196917199189
row366	365.0	338.1462	3.341	0.11374688056423998	1.5952650552268008
row367	366.0	129.0662	1.431	1.0936090141766743e-05	-4.626966666622824
row368	367.0	402.2855	3.337	0.01869642513460952	2.3897454594389393
row369	368.0	118.0869	4.21	1.7763719030355524e-06	-5.071048924625366
row370	369.0	247.0869	0.429	0.3381443910316254	-0.9623606563041918
row371	370.0	461.2796	3.482	0.8000971339149295	-0.2538828496665933
row372	371.0	255.098	3.535	0.5704157290219505	0.5692828516279056
row373	372.0	258.1106	6.047	0.037740333799334495	-2.105085131685219
row374	373.0	170.0928	7.329	0.04680421857493137	2.012489195622432
row375	374.0	465.2315	3.485	0.9261506736766401	-0.09291837108715821
row376	375.0	393.2141	3.415	0.6252970751545383	0.489842762532872
row377	376.0	443.2221	2.983	0.3850827983281506	0.8723196917199189
row378	377.0	335.164	2.353	0.008096393815589596	2.700994215923354
row379	378.0	566.2033	2.339	0.004666532521414822	-2.892932238910028
row380	379.0	276.1448	5.996	0.46427825407897283	0.7345841329485588
row381	380.0	384.2751	2.923	0.11897770925793136	1.572300834912702
row382	381.0	218.1581	6.149	0.3674180555842531	0.9053414784896899
row383	382.0	306.1554	6.378	0.0022541194710174405	-3.133698830473196
row384	383.0	293.0638	5.067	0.1365578114148541	-1.5005629261623294
row385	384.0	166.0724	2.454	0.002398435177332644	3.1136678189017997
row386	385.0	281.1136	4.096	0.6202029186039575	-0.49707925816595466
row387	386.0	344.2285	1.383	0.7049149959559453	0.379757468256799
row388	387.0	722.5055	0.722	0.002495476402851147	3.100818863778574
row389	388.0	399.1629	2.565	0.06113819390061748	-1.893403762185781
row390	389.0	253.1185	2.396	0.34155824797787104	0.9555512108455061
row391	390.0	313.2207	2.977	0.7832785858321433	0.27577530713441883
row392	391.0	198.0876	4.86	0.001932379088538913	-3.1830360628854057
