,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
1746,HMDB0045413,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))",C63H104O6,957.519,956.783291069,"(2S)-1-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,25-26,28-29,31,33,35,38-39,42,44,47,60H,4-6,8-9,11-15,18,21-24,27,30,32,34,36-37,40-41,43,45-46,48-59H2,1-3H3/b10-7-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-/t60-/m0/s1",XOMMIQREYDPKRF-FMYHXWRUSA-N
1747,HMDB0045419,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))",C63H104O6,957.519,956.783291069,"(2S)-1-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,35,38-39,42,60H,4-6,9,12-15,18,21-24,27,30,32,34,36-37,40-41,43-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-/t60-/m0/s1",IUMDGPNWURWSCV-FJBSQTRCSA-N
1748,HMDB0045420,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C63H102O6,955.503,954.767641004,"(2S)-1-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,35,38-39,42,44,47,60H,4-6,9,12-15,18,21-24,27,30,32,34,36-37,40-41,43,45-46,48-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-/t60-/m0/s1",QAMWFCYOJWMYOC-SBGMQPKRSA-N
1749,HMDB0045422,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H104O6,981.541,980.783291069,"(2S)-2-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-2-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C65H104O6/c1-4-7-10-13-16-19-22-25-28-30-32-34-37-40-43-46-49-52-55-58-64(67)70-61-62(60-69-63(66)57-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)71-65(68)59-56-53-50-47-44-41-38-35-33-31-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,32-35,40-41,43-44,49,52,62H,4-6,9,12-15,18,21-24,27,30-31,36-39,42,45-48,50-51,53-61H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,34-32-,35-33-,43-40-,44-41-,52-49-/t62-/m0/s1",NHOONBFZUMWOFW-OWQGDOAGSA-N
1750,HMDB0045425,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)",C63H110O6,963.567,962.830241262,"(2S)-1-(icosanoyloxy)-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-(icosanoyloxy)-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H110O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25,28,31,33,39,42,48,51,60H,4-6,8-9,11-15,17-18,20-24,26-27,29-30,32,34-38,40-41,43-47,49-50,52-59H2,1-3H3/b10-7-,19-16-,28-25-,33-31-,42-39-,51-48-/t60-/m0/s1",NFFNDBLEGQCYOX-TWKXXNKTSA-N
1751,HMDB0045433,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z))",C63H104O6,957.519,956.783291069,"(2S)-1-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-26,28-29,31,33,35,38-39,42,44,47-48,51,60H,4-6,8-9,11-15,17-18,20-24,27,30,32,34,36-37,40-41,43,45-46,49-50,52-59H2,1-3H3/b10-7-,19-16-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-,51-48-/t60-/m0/s1",SXAAWCNXDWGCLB-WVVQKHDVSA-N
1752,HMDB0045438,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2n6)",C63H106O6,959.535,958.798941133,"(2S)-1-[(11Z,14Z)-icosa-11,14-dienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(11Z,14Z)-icosa-11,14-dienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H106O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,25-26,28-29,31,33,39,42,48,51,60H,4-6,8-9,11-15,18,21-24,27,30,32,34-38,40-41,43-47,49-50,52-59H2,1-3H3/b10-7-,19-16-,20-17-,28-25-,29-26-,33-31-,42-39-,51-48-/t60-/m0/s1",FTHLMZICSLNUNG-RFAFCCPUSA-N
1753,HMDB0045439,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3n6)",C63H104O6,957.519,956.783291069,"(2S)-1-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,25-26,28-29,31,33,35,38-39,42,48,51,60H,4-6,8-9,11-15,18,21-24,27,30,32,34,36-37,40-41,43-47,49-50,52-59H2,1-3H3/b10-7-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,51-48-/t60-/m0/s1",QWLKJDKJCFMSGB-OZQFVIIKSA-N
1754,HMDB0045440,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))",C63H102O6,955.503,954.767641004,"(2S)-1-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,25-26,28-29,31,33,35,38-39,42,44,47-48,51,60H,4-6,8-9,11-15,18,21-24,27,30,32,34,36-37,40-41,43,45-46,49-50,52-59H2,1-3H3/b10-7-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-,51-48-/t60-/m0/s1",JGZAQTBYJIAXMB-IQVPNVFRSA-N
1755,HMDB0045443,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C65H104O6,981.541,980.783291069,"(2S)-1-[(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C65H104O6/c1-4-7-10-13-16-19-22-25-28-30-32-34-37-40-43-46-49-52-55-58-64(67)70-61-62(60-69-63(66)57-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)71-65(68)59-56-53-50-47-44-41-38-35-33-31-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,32-35,40-41,43-44,49-50,52-53,62H,4-7,9-10,12-15,18,21-24,27,30-31,36-39,42,45-48,51,54-61H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,34-32-,35-33-,43-40-,44-41-,52-49-,53-50-/t62-/m0/s1",UURRRKGAHHCVSI-ATWVAKFQSA-N
1756,HMDB0045446,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))",C63H102O6,955.503,954.767641004,"(2S)-1-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,35,38-39,42,48,51,60H,4-6,9,12-15,18,21-24,27,30,32,34,36-37,40-41,43-47,49-50,52-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,51-48-/t60-/m0/s1",HOJKDYMVHKKNHI-KDGBUHMYSA-N
1757,HMDB0045447,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C63H100O6,953.487,952.75199094,"(2S)-1-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H100O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,35,38-39,42,44,47-48,51,60H,4-6,9,12-15,18,21-24,27,30,32,34,36-37,40-41,43,45-46,49-50,52-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-,51-48-/t60-/m0/s1",RGEZBXPRDPDBNY-NHHCUWNXSA-N
1758,HMDB0045448,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H104O6,981.541,980.783291069,"(2S)-1-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C65H104O6/c1-4-7-10-13-16-19-22-25-28-30-32-34-37-40-43-46-49-52-55-58-64(67)70-61-62(60-69-63(66)57-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)71-65(68)59-56-53-50-47-44-41-38-35-33-31-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,32-35,40-41,43-44,50,53,62H,4-6,9,12-15,18,21-24,27,30-31,36-39,42,45-49,51-52,54-61H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,34-32-,35-33-,43-40-,44-41-,53-50-/t62-/m0/s1",OTFHEYIENBSGTP-HZMSJLSZSA-N
1759,HMDB0045449,"TG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H102O6,979.525,978.767641004,"(2S)-1-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-1-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyloxy]-3-(octadecanoyloxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C65H102O6/c1-4-7-10-13-16-19-22-25-28-30-32-34-37-40-43-46-49-52-55-58-64(67)70-61-62(60-69-63(66)57-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)71-65(68)59-56-53-50-47-44-41-38-35-33-31-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,32-35,40-41,43-44,49-50,52-53,62H,4-6,9,12-15,18,21-24,27,30-31,36-39,42,45-48,51,54-61H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,34-32-,35-33-,43-40-,44-41-,52-49-,53-50-/t62-/m0/s1",POVKTGOFOJWXMA-VQHKAUGWSA-N
1760,HMDB0045457,TG(18:0/O-18:0/18:1(11Z)),C57H110O5,875.502,874.835326642,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z)-octadec-11-enoate,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z)-octadec-11-enoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C57H110O5/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-60-55(53-61-56(58)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2)54-62-57(59)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3/h20,23,55H,4-19,21-22,24-54H2,1-3H3/b23-20-/t55-/m1/s1",OLZRHDMTTQNXSI-ORXJQOAGSA-N
1761,HMDB0045458,TG(18:0/O-18:0/18:1(9Z)),C57H110O5,875.502,874.835326642,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (9Z)-octadec-9-enoate,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (9Z)-octadec-9-enoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C57H110O5/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-60-55(53-61-56(58)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2)54-62-57(59)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3/h26,29,55H,4-25,27-28,30-54H2,1-3H3/b29-26-/t55-/m1/s1",MCIPPLJLYFTODM-OVDKEJHLSA-N
1762,HMDB0045459,TG(18:0/O-18:0/20:1(11Z)),C59H114O5,903.556,902.866626771,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z)-icos-11-enoate,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z)-icos-11-enoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C59H114O5/c1-4-7-10-13-16-19-22-25-28-30-32-35-38-41-44-47-50-53-59(61)64-56-57(62-54-51-48-45-42-39-36-33-29-26-23-20-17-14-11-8-5-2)55-63-58(60)52-49-46-43-40-37-34-31-27-24-21-18-15-12-9-6-3/h25,28,57H,4-24,26-27,29-56H2,1-3H3/b28-25-/t57-/m0/s1",YEMQFZGWRFYGJM-CUASBFQXSA-N
1763,HMDB0045462,TG(18:0/O-18:0/24:1(15Z)),C63H122O5,959.664,958.929227028,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (15Z)-tetracos-15-enoate,(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (15Z)-tetracos-15-enoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C63H122O5/c1-4-7-10-13-16-19-22-25-28-30-31-32-33-34-36-39-42-45-48-51-54-57-63(65)68-60-61(66-58-55-52-49-46-43-40-37-29-26-23-20-17-14-11-8-5-2)59-67-62(64)56-53-50-47-44-41-38-35-27-24-21-18-15-12-9-6-3/h25,28,61H,4-24,26-27,29-60H2,1-3H3/b28-25-/t61-/m0/s1",WITFBADACYFOQN-SBOILKGHSA-N
1764,HMDB0045464,"TG(18:0/O-18:0/18:3(6Z,9Z,12Z))",C57H106O5,871.47,870.804026513,"(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (6Z,9Z,12Z)-octadeca-6,9,12-trienoate","(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (6Z,9Z,12Z)-octadeca-6,9,12-trienoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C57H106O5/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-60-55(53-61-56(58)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2)54-62-57(59)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3/h17,20,26,29,35,38,55H,4-16,18-19,21-25,27-28,30-34,36-37,39-54H2,1-3H3/b20-17-,29-26-,38-35-/t55-/m1/s1",LLAVCIGKJBNPIR-LRZOXXFJSA-N
1765,HMDB0045465,TG(18:0/O-18:0/20:2n6),C59H112O5,901.54,900.850976706,"(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z,14Z)-icosa-11,14-dienoate","(2S)-3-(octadecanoyloxy)-2-(octadecyloxy)propyl (11Z,14Z)-icosa-11,14-dienoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)OCCCCCCCCCCCCCCCCCC,"InChI=1S/C59H112O5/c1-4-7-10-13-16-19-22-25-28-30-32-35-38-41-44-47-50-53-59(61)64-56-57(62-54-51-48-45-42-39-36-33-29-26-23-20-17-14-11-8-5-2)55-63-58(60)52-49-46-43-40-37-34-31-27-24-21-18-15-12-9-6-3/h16,19,25,28,57H,4-15,17-18,20-24,26-27,29-56H2,1-3H3/b19-16-,28-25-/t57-/m0/s1",RPLBRIYXQKGFND-NRCLJHGGSA-N
