Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
0,5629,17170,10406,5255,7318,199364,244299,285268,40635,34837,27281,261665,50156,337130
92668,89361,130843,12799,19543,10583,164202,124913,226206,51800,63563,58441,301650,70337,380359
8590722,11039667,19879763,58016,46163,48961,314284,348075,345811,136884,141619,129133,438779,112677,461210
15980909,22115845,41535938,9710,6732,5656,455658,401201,496620,173776,179022,168766,556221,168261,618871
129789419,143372273,196973581,0,6214,0,38706,52732,46092,168624,180780,115334,355524,61837,351657
226268,266344,398648,0,0,0,211949,192635,193682,15026,0,0,180026,10727,175104
24056,166699,78400,14677037,15179979,14273873,13104259,15218682,13913996,297765,333085,292001,4599,0,0
2689698,3451396,6193086,0,0,0,0,0,0,0,0,0,0,0,0
360558,467450,724984,0,0,0,0,0,0,3671,0,0,0,0,0
12150910,4256612,20671050,0,0,0,0,0,0,58594,58887,55531,0,0,5979
2060368,1987378,4175020,0,0,0,0,0,0,4751,0,0,0,0,8833
1660464,2138166,4505347,0,0,0,0,0,0,0,0,0,0,0,0
1414910,1501874,2259330,0,0,0,0,0,0,0,0,0,0,0,0
13520,17404,33913,0,0,0,0,0,0,4498,0,0,0,0,0
9970416,13985343,25838628,18697,11188,8647,16837,10489,20704,6994,9612,13817,35579,3263,141307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4098304,3620826,5816694,0,0,0,0,0,0,0,0,0,0,0,0
4096593,4691791,7044115,0,0,0,0,0,0,0,0,0,0,0,0
334009,464724,925740,0,0,0,0,0,0,0,0,0,0,0,0
1364247,1820648,3452458,0,0,0,71631,52066,64693,0,4185,0,40628,0,40686
2021159,2970632,6352678,22186,0,4252,35640,22702,28374,21761,52743,38731,95647,12929,59720
1801212,1646082,2483875,0,0,0,0,0,0,0,0,0,0,0,0
641760,954152,2003023,0,0,0,0,0,0,0,6877,0,0,0,0
303760,325888,303833,3073633,3353064,2843059,3881241,4433088,4842318,588638,716675,703255,2618085,325751,2741098
675817,713172,1194955,0,0,0,4085,10950,0,0,0,0,0,0,0
1585077,2238258,4035350,0,0,0,0,0,0,0,0,0,0,0,0
10197371,11648391,17121812,0,0,0,0,0,0,0,0,0,0,0,0
9454157,15852522,36124580,0,0,0,9827,5062,8473,29523,12387,14386,25821,4817,28607
3437905,3495660,6169878,0,0,0,0,0,0,0,0,0,0,0,0
35577272,44180656,67005004,0,0,0,0,7278,9134,0,0,7002,5939,0,16515
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882459,3110417,4381062,0,0,0,0,0,0,0,0,0,0,0,0
3355833,3013763,4575658,0,0,0,0,0,0,0,0,0,0,3379,0
309565,415920,723516,0,0,0,0,0,0,0,0,0,0,0,0
681636,857087,1703631,0,0,0,0,0,0,0,0,0,0,0,0
1495086,2045035,3747334,0,0,0,0,0,6250,0,0,0,0,3854,0
1370756,1682620,3365788,6976,0,0,0,0,0,14301,12300,0,28839,0,11675
408694,572112,1181444,0,0,0,0,3576,0,0,0,0,0,0,0
2709968,3471589,7038605,0,0,0,0,0,0,4959,0,0,0,0,0
3376990,5323439,11502384,0,0,0,0,0,0,0,3909,0,11531,0,6812
0,0,0,0,0,0,55405,55071,67754,7769,7665,4081,68638,3430,51161
95995,94283,107057,33628,37966,22808,60421,69378,69030,6864,8252,8012,1344999,446450,1358897
4977,11321,9369,3350,0,4614,0,0,0,0,0,0,260830,7508,231876
26930,22269,36046,168088,188030,169950,425815,519824,487410,3676,5031,0,1231542,252394,1167938
158853,165556,203301,497728,550554,484077,866016,1089866,1038277,0,3094,0,27221,2112,36865
1474885,1445101,1645038,347464,326475,294853,643114,863707,801734,12694,22621,16499,338296,65988,384401
2021587,1887563,2494661,683326,779255,696128,1513202,1740365,1662418,315011,324866,324920,15368562,3930074,15258360
13769564,13680070,17204934,19091423,22488352,18686117,50510217,62176328,59206498,3831088,4565598,4495215,308972608,56585266,287114416
260740,249878,253795,105406,118565,116800,310220,348593,321970,14888,20402,14670,704531,169154,1146642
613013,641327,707990,174786,186027,186196,471952,519975,507873,68470,68794,62586,2722527,692213,2623538
0,0,0,28546,32999,19472,429844,554003,527438,0,0,0,152828,9113,177702
102300,112089,153600,548644,552318,530456,4476310,5407328,5191997,46229,32814,26041,1796146,443009,1957873
45431,37437,39127,31097,40595,33530,230508,270245,226006,2617,0,0,248571,49552,247410
5421929,5550051,7188387,5299442,6102448,5504631,271978628,299082660,310533204,1536030,1655656,1601880,69776810,14654971,75199238
207697,220208,295710,166522,144574,149266,4118238,4527676,4503672,84269,71494,67738,3589609,972258,3788749
